Sale_ID,Customer_Name,Product,Quantity,Sale_Price,Sale_Date,Region,Sales_Channel,Sales_Rep,Sale_Cost
SAL100055,Kenneth Williams,Mouse,6,436.97,2025-02-18,East,Online,Jeffrey Villarreal,374.85
SAL100056,Michael Lawrence,Camera,8,518.24,2025-04-21,Central,Reseller,Kristin Anderson,444.57
SAL100057,William Cohen,Phone,1,1658.08,2024-09-07,North,Retail,Jeffery Hansen,1422.37
SAL100058,Stacy Cortez,Tablet,7,516.76,2025-05-06,Central,Online,Miss Felicia Warren,443.3
SAL100059,Lisa Adams,Laptop,1,968.46,2024-12-26,Central,Online,Sarah Alexander,830.79
SAL100060,Angela Hunt,Printer,6,907.19,2024-12-25,North,Reseller,Adam Hall,778.23
SAL100061,Kevin Castillo,Printer,8,1665.66,2025-01-03,South,Online,Shannon Santos,1428.87
SAL100062,Dana Atkins,Tablet,5,1700.32,2025-01-18,West,Retail,Evelyn Davis,1458.6
SAL100063,Melissa Green,Mouse,7,638.9,2025-05-29,East,Online,Patrick Morrison DDS,548.07
SAL100064,Renee Carpenter,Monitor,8,1185.9,2024-08-30,Central,Online,Miss Jennifer Reid DDS,1017.31
SAL100065,Walter Garcia,Mouse,8,762.81,2025-05-11,North,Reseller,Tiffany Farley,654.37
SAL100066,Ryan Green,Keyboard,1,713.32,2024-09-23,North,Retail,Lori Taylor,611.92
SAL100067,Jennifer Garner,Phone,9,1709.96,2025-04-19,East,Online,Matthew Hebert,1466.87
SAL100068,Janice Day,Keyboard,4,736.22,2025-01-12,East,Online,Judith Duncan,631.56
SAL100069,William Washington,Monitor,7,192.76,2024-09-16,North,Reseller,Kevin Harrell,165.36
SAL100070,Tara Moody,Camera,9,1640.11,2025-01-30,East,Online,John Blankenship,1406.95
SAL100071,Rebecca Morris,Camera,3,313.84,2024-07-23,South,Online,Adrian Moore,269.22
SAL100072,Rachel Griffin,Phone,8,1883.93,2024-07-23,West,Reseller,Michael Austin,1616.11
SAL100073,Logan Allen,Phone,3,1857.46,2024-11-22,Central,Reseller,Sarah Smith,1593.41
SAL100074,Jennifer Edwards,Mouse,9,808.63,2024-09-11,South,Online,Morgan Armstrong,693.68
SAL100075,David Martinez,Monitor,4,485.22,2025-01-17,Central,Online,Joshua Fisher,416.24
SAL100076,Brian Davis,Camera,5,792.65,2024-12-27,East,Online,Stacy Smith,679.97
SAL100077,Tanya Gray,Laptop,5,1168.8,2024-10-01,East,Reseller,Mark Moreno,1002.64
SAL100078,Blake Walker,Phone,4,1694.3,2024-07-14,South,Reseller,Julie Lee,1453.44
SAL100079,Joshua Martin,Phone,2,1647.01,2024-07-22,South,Retail,Frank Clark,1412.87
SAL100080,Julie Myers,Monitor,4,963.98,2024-06-16,South,Retail,Zachary Holder,826.94
SAL100081,Jessica Robinson,Monitor,2,900.48,2024-08-01,East,Reseller,James Simpson,772.47
SAL100082,Patricia Rivera,Tablet,4,184.71,2024-11-06,West,Reseller,Lindsey Lewis,158.45
SAL100083,Eric Camacho,Monitor,3,803.87,2024-12-25,North,Reseller,Jeremy Cox,689.59
SAL100084,Susan Thornton,Keyboard,6,1668.33,2024-07-08,West,Online,Shirley Jones,1431.16
SAL100085,Jeremy Anderson,Mouse,6,1216.3,2024-08-05,North,Reseller,Jonathon Rivas,1043.39
SAL100086,Tara Edwards,Tablet,5,1501.24,2024-07-27,West,Retail,Deborah Alvarado,1287.83
SAL100087,Gregory Graves,Phone,9,629.67,2024-07-21,East,Online,Kristin Miller,540.16
SAL100088,Joe Griffin,Mouse,8,537.77,2024-08-24,North,Online,Tina Parsons,461.32
SAL100089,Bobby West,Keyboard,2,1933.19,2025-06-08,South,Online,Dakota Cooper,1658.37
SAL100090,Tamara Ramirez,Monitor,6,157.96,2024-08-21,South,Online,John Allen,135.5
SAL100091,Justin Davenport,Keyboard,3,315.67,2024-12-13,North,Retail,Rachel White,270.79
SAL100092,Tyler Clayton,Phone,3,1491.04,2024-07-06,Central,Reseller,Stacey Cross,1279.08
SAL100093,Jacqueline Lawson,Phone,6,1525.05,2025-05-20,Central,Retail,Jonathan Thompson,1308.25
SAL100094,Miss Christina Hall,Phone,5,905.27,2025-05-03,West,Retail,Terri Norris,776.58
SAL100095,Latoya Robinson,Laptop,6,1996.04,2025-02-20,South,Retail,Kelly Moran,1712.29
SAL100096,Melissa Leon,Camera,2,116.21,2025-06-13,West,Reseller,Ana Reeves,99.69
SAL100097,Jade David,Camera,5,1224.96,2024-12-05,Central,Online,Samantha Brooks,1050.82
SAL100098,Rebecca Bowers,Monitor,8,961.44,2024-12-01,Central,Reseller,Christopher Marks,824.76
SAL100099,Elizabeth Villarreal,Mouse,1,1356.76,2025-01-26,Central,Online,Jessica Rodriguez,1163.88
SAL100100,Ronald Brown,Monitor,3,338.14,2025-04-08,Central,Reseller,Timothy Hood,290.07
SAL100101,Mary Nguyen,Phone,1,1205.29,2024-08-21,East,Reseller,Bruce Cooper,1033.95
SAL100102,Danielle Clark,Printer,4,1241.88,2025-04-10,West,Retail,Andrew Bennett,1065.34
SAL100103,Jimmy Young,Phone,5,482.74,2024-10-10,East,Reseller,Mark Cardenas,414.11
SAL100104,Erica Johnson,Laptop,1,834.82,2024-07-17,South,Online,Jerry Fletcher,716.14
SAL100105,Jessica Larsen,Printer,3,383.12,2024-09-07,Central,Reseller,Elizabeth Barker,328.66
SAL100106,Thomas James,Mouse,8,1760.93,2024-09-14,East,Reseller,Eric Dunn,1510.6
SAL100107,Amanda Jones,Laptop,6,1360.68,2024-07-18,West,Online,Mary Green,1167.25
SAL100108,Travis Smith,Camera,3,275.93,2025-03-01,Central,Reseller,Vincent Brooks,236.7
SAL100109,Destiny Diaz,Keyboard,8,1906.58,2025-05-21,North,Reseller,Melissa Rodriguez PhD,1635.54
SAL100110,Jose Pearson,Keyboard,1,1765.99,2024-12-24,Central,Reseller,James Weaver,1514.94
SAL100111,Michelle Waters,Printer,2,1986.45,2024-07-08,North,Reseller,Jeffrey Garcia,1704.06
SAL100112,Susan Carrillo,Keyboard,6,448.17,2024-07-06,Central,Reseller,Lindsay Kim,384.46
SAL100113,Rachel Mack,Tablet,3,1321.79,2025-04-07,Central,Online,Timothy Hamilton,1133.89
SAL100114,Kristin Meadows,Keyboard,5,1347.14,2024-09-18,Central,Retail,Jamie Freeman,1155.63
SAL100115,Henry Mccall,Tablet,8,696.24,2025-02-03,North,Retail,Frank Washington,597.26
SAL100116,Richard Marshall,Printer,3,945.31,2024-11-20,East,Reseller,Tanya Walters,810.93
SAL100117,Andrew Cisneros,Phone,1,405.41,2024-12-09,North,Retail,Kenneth Ramirez,347.78
SAL100118,Michelle Perez,Camera,5,999.68,2024-11-30,East,Retail,Shelly Cummings,857.57
SAL100119,Christina Peck,Printer,3,1040.2,2024-06-22,North,Retail,Pamela Smith,892.33
SAL100120,Zachary Garcia,Camera,5,1537.54,2025-04-04,East,Reseller,Melissa Bates,1318.97
SAL100121,Brianna Blevins,Tablet,5,996.42,2025-05-23,South,Reseller,Jennifer Sparks,854.77
SAL100122,Andrew Brown,Laptop,4,1460.42,2024-11-19,East,Retail,Mitchell Murphy,1252.81
SAL100123,Bryan Benton,Phone,2,1614.58,2025-05-23,North,Retail,Charles Mcdonald,1385.05
SAL100124,David Williams,Printer,7,1612.86,2024-07-22,East,Reseller,Mark Carr,1383.58
SAL100125,Alice Buckley,Monitor,9,1353.13,2025-05-28,South,Reseller,Sandra Stephens,1160.77
SAL100126,Alicia Harper,Mouse,4,1122.69,2024-12-30,West,Online,Stephanie Smith,963.09
SAL100127,Francis Cunningham,Laptop,6,152.91,2024-09-13,South,Online,Gina King,131.17
SAL100128,Amy Brown,Phone,1,946.98,2025-01-25,East,Online,Brittany Stevenson,812.36
SAL100129,Shaun Williams,Phone,8,1939.07,2024-11-29,Central,Retail,Julie Christensen,1663.41
SAL100130,Mrs. Cassandra Johnson,Camera,6,735.52,2024-09-13,South,Reseller,Kendra Barrett,630.96
SAL100131,William Juarez,Phone,8,1427.71,2024-10-25,West,Online,Gloria George,1224.75
SAL100132,Kyle Roberts,Keyboard,8,1112.41,2024-10-05,East,Online,Joseph Hamilton,954.27
SAL100133,Justin Adams,Printer,3,1860.33,2025-02-22,Central,Retail,Kelly Ford,1595.87
SAL100134,Julia Romero,Monitor,8,549.96,2024-12-31,South,Retail,Kimberly Brown,471.78
SAL100135,Jamie Huff,Keyboard,3,221.2,2024-08-08,West,Online,Danielle Bennett,189.75
SAL100136,Emily Hansen,Camera,2,1549.72,2024-07-09,East,Retail,Melissa Ray,1329.41
SAL100137,Linda Spencer,Monitor,7,1265.99,2024-11-21,West,Online,Donna Ross,1086.02
SAL100138,Taylor Strong,Printer,4,739.83,2025-01-11,South,Online,Kyle Anderson,634.66
SAL100139,Autumn Cannon,Phone,5,1543.14,2024-11-22,West,Retail,Mitchell Guzman,1323.77
SAL100140,Steven Holland,Keyboard,8,1586.09,2024-08-11,South,Reseller,Felicia Bishop,1360.61
SAL100141,Tina Lowe,Monitor,5,941.83,2024-12-08,East,Online,Cynthia Wood,807.94
SAL100142,Sara Santos,Printer,2,1126.52,2025-06-11,West,Online,Catherine Miller,966.38
SAL100143,Suzanne Miller,Monitor,6,1030.16,2024-08-05,West,Retail,Andrew Gonzalez,883.71
SAL100144,Amy Howell,Mouse,8,750.48,2025-01-26,North,Online,Candice Harvey,643.79
SAL100145,Philip Mayer,Laptop,4,1135.49,2025-03-01,East,Reseller,Andrew Rivera,974.07
SAL100146,Joshua Williams,Laptop,4,125.97,2025-05-29,Central,Online,Jeremy Henderson,108.06
SAL100147,Melissa Lara,Camera,8,961.15,2025-04-17,East,Retail,Debra Compton,824.51
SAL100148,Ryan Russell,Tablet,3,1712.12,2025-04-24,Central,Online,George Montgomery,1468.73
SAL100149,Mason Smith,Printer,3,1867.69,2025-01-12,South,Online,Diana Higgins,1602.18
SAL100150,Steven Fuentes,Mouse,5,1672.72,2024-12-25,South,Retail,David Burton,1434.93
SAL100151,Emily Haney,Printer,5,656.43,2024-08-26,West,Reseller,Kimberly Burns,563.11
SAL100152,Jessica Martinez,Keyboard,1,1849.72,2024-09-19,North,Retail,Madeline Mendoza,1586.77
SAL100153,Donald Ruiz,Monitor,5,766.38,2025-01-06,North,Retail,Judith Jones,657.43
SAL100154,Mrs. Theresa Oliver,Laptop,2,1766.31,2024-10-13,East,Reseller,Scott Hodges,1515.21
SAL100155,Ricky Gutierrez MD,Camera,5,388.29,2024-08-27,East,Retail,Jennifer Hatfield,333.09
SAL100156,Ian Johnson,Tablet,5,1104.28,2024-09-26,Central,Online,Michael Cameron,947.3
SAL100157,Jason Knight,Laptop,2,1122.74,2025-01-12,West,Retail,Carolyn Johnson,963.13
SAL100158,Nicholas Bennett,Monitor,3,909.17,2025-05-15,East,Reseller,Kimberly Anthony,779.92
SAL100159,Billy Dean,Camera,1,1611.46,2024-09-10,Central,Online,Linda Davis,1382.38
SAL100160,Nicole Lopez,Printer,9,803.4,2024-07-08,Central,Reseller,Andrea Lester,689.19
SAL100161,Christopher Gillespie,Laptop,6,1044.88,2024-10-06,North,Reseller,Terri Contreras DVM,896.34
SAL100162,Mrs. Melissa Moyer,Camera,7,1855.87,2024-11-23,East,Retail,Erin Hurley,1592.04
SAL100163,Christopher Wyatt,Mouse,5,1669.7,2025-03-05,East,Online,Robert Mcintosh,1432.34
SAL100164,David Aguilar,Mouse,1,1216.28,2025-06-10,East,Retail,Mark Jimenez,1043.38
SAL100165,Jeffrey Alvarado,Keyboard,1,1602.45,2025-01-14,North,Retail,Casey Farrell,1374.65
SAL100166,Janet Bonilla,Phone,4,1842.2,2024-07-11,North,Retail,Scott Williams,1580.32
SAL100167,Christopher Kent,Monitor,4,140.23,2024-12-02,Central,Online,Jasmin Jimenez,120.3
SAL100168,Mark Mays,Tablet,1,835.9,2024-08-02,South,Reseller,Jessica Pratt,717.07
SAL100169,Brittany Vega,Camera,1,126.66,2025-03-26,North,Online,Gabriel Francis,108.65
SAL100170,Joseph Davis,Monitor,6,1903.01,2025-03-26,Central,Reseller,John Mayer,1632.48
SAL100171,Tyler Beck,Tablet,8,134.44,2025-04-25,Central,Retail,Melissa Lopez MD,115.33
SAL100172,Michael Lee DDS,Laptop,9,1279.34,2024-11-29,North,Reseller,Frank Marshall,1097.47
SAL100173,Paul Price,Tablet,3,1434.12,2025-03-26,East,Retail,Whitney Walsh,1230.25
SAL100174,Robert Turner,Phone,2,848.12,2024-11-24,West,Online,Kimberly Horne,727.55
SAL100175,Ray Nelson,Monitor,9,1139.58,2025-05-12,West,Reseller,George Owens,977.58
SAL100176,Gregory Hodges,Mouse,5,703.0,2025-06-13,North,Reseller,Cindy Norton,603.06
SAL100177,James Mcmahon,Phone,3,1105.63,2024-12-04,West,Retail,Kevin Torres,948.46
SAL100178,Rachel Mendez,Printer,7,1950.97,2024-08-04,West,Retail,Brandon Roy,1673.62
SAL100179,Taylor Alexander,Phone,3,490.61,2025-03-07,South,Online,Mackenzie Perkins,420.87
SAL100180,Marc Melendez,Camera,3,871.54,2025-05-09,East,Online,Hannah Jones,747.64
SAL100181,Corey Moody,Camera,1,1927.72,2024-09-15,West,Online,Kristen Bush,1653.68
SAL100182,Rebecca Smith,Monitor,9,1587.79,2025-03-11,East,Reseller,Dennis Clark,1362.07
SAL100183,Mrs. Elizabeth Guerra,Laptop,4,484.82,2025-02-03,South,Reseller,Lynn Gray,415.9
SAL100184,Anthony Delacruz,Tablet,2,1676.11,2025-02-09,North,Online,Judith Welch,1437.84
SAL100185,Jaime Jordan,Printer,5,1434.86,2025-02-06,Central,Retail,Nicholas Rios,1230.88
SAL100186,Mark Brown,Printer,9,778.62,2024-06-21,South,Online,Jordan Daniels,667.93
SAL100187,Thomas Johnson,Camera,6,1977.0,2024-07-09,West,Retail,Jamie Moore,1695.95
SAL100188,Cheryl Byrd,Monitor,3,268.78,2024-10-15,Central,Reseller,Daniel Moore,230.57
SAL100189,Cassandra Santana,Camera,1,1444.52,2025-04-29,South,Online,Jennifer Miller,1239.17
SAL100190,William Hill,Keyboard,6,1661.45,2024-10-23,West,Reseller,Christopher Velasquez,1425.26
SAL100191,David Thomas,Keyboard,2,1215.02,2024-11-02,Central,Reseller,Zachary Poole,1042.29
SAL100192,Madeline Reyes,Printer,6,999.63,2024-11-21,South,Retail,Susan Vargas,857.52
SAL100193,Joel Cox,Keyboard,7,1385.58,2025-03-30,East,Retail,Heather Jones,1188.61
SAL100194,Joshua Ramirez,Phone,2,1887.33,2024-11-19,East,Retail,Sarah Tate,1619.03
SAL100195,Ashley Abbott,Monitor,6,1612.78,2024-12-10,West,Reseller,Johnny Harris,1383.51
SAL100196,Kimberly Smith,Camera,6,130.57,2024-11-09,North,Reseller,Jessica Juarez,112.01
SAL100197,Scott Perez,Mouse,4,1442.5,2025-04-24,North,Retail,Brett Flynn,1237.44
SAL100198,Tanya Miles,Laptop,9,1716.96,2025-01-11,North,Online,Kimberly Gonzales,1472.88
SAL100199,Angela Herrera,Camera,9,784.84,2024-07-11,West,Online,Tyler Leblanc,673.27
SAL100200,Rachel Martin,Laptop,6,1086.0,2024-11-02,North,Retail,Alyssa Holden,931.62
SAL100201,Patrick Cowan,Tablet,2,1609.11,2025-03-24,South,Retail,Henry Castro,1380.36
SAL100202,Robert Herring,Camera,9,1868.31,2025-06-09,North,Retail,Lindsey Eaton,1602.71
SAL100203,Adam Jordan,Keyboard,1,1607.86,2024-09-30,Central,Retail,Jamie Cisneros,1379.29
SAL100204,Lindsay May,Printer,2,826.66,2025-03-04,South,Online,Christian Wilson,709.14
SAL100205,Robert Cummings,Keyboard,8,1788.61,2025-02-23,North,Online,Thomas Mcconnell,1534.34
SAL100206,Joshua Zimmerman,Phone,3,903.12,2025-04-11,North,Retail,Daniel Casey,774.73
SAL100207,Jack Jones,Printer,4,1122.65,2025-01-12,East,Retail,John Rowe,963.06
SAL100208,Rebecca Reyes,Phone,1,882.13,2024-08-21,North,Retail,Laura Arroyo,756.73
SAL100209,Jose Bush,Mouse,5,1751.73,2025-03-21,Central,Retail,Darrell Miller,1502.71
SAL100210,Mackenzie Evans,Phone,2,238.4,2025-04-06,North,Reseller,Timothy Graves,204.51
SAL100211,Kurt Campbell,Printer,7,265.29,2024-10-27,West,Reseller,Nancy Perez,227.58
SAL100212,Mr. David Hartman MD,Laptop,4,1943.98,2025-05-26,South,Online,Edward Barrera,1667.63
SAL100213,Joel Hill,Mouse,1,1612.1,2024-07-06,Central,Retail,Sandra Cooper,1382.93
SAL100214,Jessica Smith,Camera,8,1797.21,2025-01-13,East,Retail,Joyce Duran,1541.72
SAL100215,Christina Bradley,Keyboard,7,1924.13,2025-01-30,South,Reseller,Victoria Boyle,1650.6
SAL100216,Dr. Cynthia Patrick,Keyboard,3,179.21,2024-07-11,West,Reseller,Jason Reyes,153.73
SAL100217,Darius Martinez,Phone,5,720.64,2024-12-24,South,Retail,Stephen Romero,618.19
SAL100218,Jason Moore,Keyboard,3,253.63,2024-06-22,Central,Retail,Matthew Green,217.57
SAL100219,Kathy Padilla,Keyboard,6,1882.87,2024-08-08,West,Online,Natasha Brown,1615.2
SAL100220,Laura Bailey,Monitor,2,522.13,2025-06-11,East,Reseller,Amy Wilson,447.9
SAL100221,Blake Luna,Camera,1,314.39,2024-10-29,Central,Retail,Deanna Adams,269.7
SAL100222,Jessica Bonilla,Phone,1,1648.93,2024-09-04,West,Retail,Gina Flores,1414.52
SAL100223,Stephanie Webster,Phone,6,1516.15,2024-08-16,South,Retail,Sarah Holmes,1300.62
SAL100224,Christopher Poole,Camera,9,1284.1,2025-01-01,South,Reseller,Nancy Ballard,1101.55
SAL100225,Emily Welch,Camera,5,676.26,2024-09-27,West,Reseller,Clinton Thompson,580.12
SAL100226,John Dorsey,Tablet,4,151.36,2024-08-30,East,Reseller,Mary Davis,129.84
SAL100227,Elizabeth Hall,Monitor,6,617.98,2024-11-30,West,Reseller,Kelly Harper,530.13
SAL100228,Brooke Coleman,Tablet,5,322.14,2024-06-30,South,Online,Christine Adkins,276.35
SAL100229,David Little,Printer,7,1855.31,2024-06-16,Central,Retail,Janet Rowland,1591.56
SAL100230,Karen Trujillo,Phone,2,1652.53,2025-05-14,West,Online,Yvonne Lopez,1417.61
SAL100231,Emma Schneider,Monitor,4,790.96,2025-02-20,Central,Reseller,Samantha Porter,678.52
SAL100232,Emily Moreno,Printer,6,1394.38,2024-08-06,East,Reseller,Adrian Dennis,1196.16
SAL100233,Javier Barry,Keyboard,2,1666.4,2025-03-05,South,Retail,John Farrell,1429.51
SAL100234,Randall Jimenez,Tablet,5,741.51,2024-11-22,East,Retail,Donald Sanders,636.1
SAL100235,Pamela Horton,Phone,3,1712.91,2024-11-29,West,Online,Amanda King,1469.41
SAL100236,Sean Jones,Monitor,2,100.62,2024-06-18,Central,Online,Courtney Jackson,86.32
SAL100237,Sean Pena,Tablet,9,1471.49,2025-04-07,West,Reseller,Michael Archer,1262.3
SAL100238,Craig Ferguson,Monitor,4,1585.13,2024-07-25,West,Online,Kendra Jones,1359.79
SAL100239,Justin Edwards,Monitor,6,632.89,2025-03-29,Central,Retail,Elizabeth Pacheco,542.92
SAL100240,Phillip Lara,Mouse,4,1042.42,2025-02-19,West,Reseller,Dana Jones,894.23
SAL100241,Mark Fowler,Keyboard,5,414.67,2025-02-22,East,Online,Marie Lowe,355.72
SAL100242,Micheal Mann,Tablet,4,1420.94,2024-10-08,Central,Reseller,David Ortiz,1218.94
SAL100243,Raymond Peterson,Monitor,3,1569.58,2024-10-22,North,Reseller,Kevin Conner,1346.45
SAL100244,Paul Sutton,Printer,6,1382.28,2025-01-27,East,Retail,Jessica Robinson,1185.78
SAL100245,Paul Howard,Mouse,6,1087.3,2024-07-20,East,Retail,Deborah Torres,932.73
SAL100246,Michael Davis,Keyboard,3,1946.19,2025-05-29,East,Online,Meagan Perry,1669.52
SAL100247,Brian Cruz,Mouse,7,578.01,2024-09-11,North,Retail,Rebecca Crane,495.84
SAL100248,Susan Richards,Laptop,1,1725.82,2025-02-25,South,Reseller,Stacey Robinson,1480.48
SAL100249,Todd Schmidt,Keyboard,1,1522.52,2025-04-30,East,Reseller,Aaron Owens,1306.08
SAL100250,Yvette Brown,Monitor,3,363.94,2025-01-28,Central,Reseller,Nathaniel Small PhD,312.2
SAL100251,Tim Carson,Printer,7,936.29,2025-05-22,North,Online,Stephanie Carter,803.19
SAL100252,Michael Schmidt,Camera,2,1877.79,2024-08-13,North,Online,Doris Esparza,1610.85
SAL100253,Eric Winters,Camera,3,1369.47,2024-10-24,West,Online,Brianna Roth,1174.79
SAL100254,Jody White,Camera,5,981.53,2024-09-26,East,Reseller,Meredith Morales,842.0
SAL100255,Pamela Moore,Keyboard,5,1167.93,2024-10-28,North,Online,David Townsend,1001.9
SAL100256,Benjamin Weaver,Laptop,3,1908.44,2024-06-14,South,Online,David Lloyd,1637.14
SAL100257,David Kim,Printer,2,353.77,2025-02-23,West,Reseller,Joshua Oconnor,303.48
SAL100258,Jill Smith,Keyboard,5,1734.18,2025-03-18,North,Retail,David Diaz,1487.65
SAL100259,Charles Hays,Mouse,1,1421.93,2024-08-01,South,Reseller,Olivia Fox,1219.79
SAL100260,Elizabeth Mendoza,Phone,5,1451.82,2025-02-04,West,Reseller,Deborah Wright,1245.43
SAL100261,Aaron Perez,Printer,7,1717.71,2024-07-18,South,Retail,Alexandra Lambert,1473.52
SAL100262,Angela Snyder,Mouse,8,288.51,2024-07-13,East,Online,Shirley Riggs,247.5
SAL100263,Tammy Hall,Phone,3,443.68,2025-05-14,South,Retail,Nathan West,380.61
SAL100264,Amanda Wood,Mouse,4,662.44,2024-12-10,East,Retail,Gary Wood,568.27
SAL100265,Janice Sellers,Mouse,7,1424.98,2025-03-23,South,Online,Michael Davis,1222.41
SAL100266,Patricia Morgan,Laptop,2,1128.79,2024-12-05,South,Reseller,Thomas Jacobs,968.32
SAL100267,Jimmy Miller,Laptop,7,672.81,2025-05-26,West,Reseller,Darren Cox,577.16
